año;mes;Dia;hora;New York;Lluvia
2014;5;4;9;broken clouds;0
2014;5;4;10;broken clouds;0
2014;5;4;11;broken clouds;0
2014;5;4;12;broken clouds;0
2014;5;4;13;light rain;1
2014;5;4;14;light rain;1
2014;5;4;15;broken clouds;0
2014;5;4;16;broken clouds;0
2014;5;4;17;broken clouds;0
2014;5;4;18;broken clouds;0
2014;5;4;19;light rain;1
2014;5;4;20;light rain;1
2014;5;4;21;light rain;1
2014;5;4;22;light rain;1
2014;5;4;23;sky is clear;0
2014;5;5;0;sky is clear;0
2014;5;5;1;sky is clear;0
2014;5;5;2;light rain;1
2014;5;5;3;light rain;1
